"year","month","fleet","est","se"
2003,1,4,1805.42,0.283
2004,1,4,2172.258,0.276
2005,1,4,2551.699,0.159
2006,1,4,2549.701,0.313
2007,1,4,2337.066,0.27
2008,1,4,2023.572,0.183
2009,1,4,1830.304,0.276
2010,1,4,1816.242,0.294
2011,1,4,1604.727,0.174
2012,1,4,1658.046,0.289
2013,1,4,1585.38,0.164
2014,1,4,1724.325,0.257
2015,1,4,1934.353,0.166
2016,1,4,1658.977,0.305
2017,1,4,1773.568,0.33
2018,1,4,1761.714,0.186
2019,1,4,1407.866,0.236
2020,1,4,959.324,0.307
2021,1,4,607.983,0.159
2022,1,4,1424.494,0.174
2023,1,4,1378.768,0.343
